"Ativo","Data","Último (R$)","Var. Dia (%)","Var. Sem. (%)","Var. Mês (%)","Var. Ano (%)","Var. 12M (%)","Val. Mín","Val. Máx","Volume"
"BEEF3","04/08","4,89","-1,01","-1,01","-1,01","18,94","-6,43","4,84","5,02","35,4 M"
"BRAV3","04/08","19,18","-1,08","-1,08","-2,84","-18,45","-28,00","19,00","19,46","112,43 M"
"RECV3","04/08","13,18","-1,20","-1,20","-1,79","-14,32","-24,77","13,13","13,38","12,8 M"
"PRIO3","04/08","40,48","-1,24","-1,24","-4,05","0,82","-12,02","40,07","40,96","276,46 M"
"UGPA3","04/08","16,70","-1,30","-1,30","-2,74","8,21","-23,97","16,59","17,30","31,57 M"
"MULT3","04/08","25,29","-1,40","-1,40","-0,04","23,99","6,34","25,20","26,02","89,51 M"
"COGN3","04/08","2,73","-1,44","-1,44","0,00","157,60","87,18","2,69","2,80","50,91 M"
"NATU3","04/08","8,77","-1,57","-1,57","-2,88","-31,27","-41,10","8,71","9,06","55,82 M"
"CMIN3","04/08","4,94","-1,59","-1,59","-1,98","0,39","15,00","4,94","5,13","19,84 M"
"SUZB3","04/08","50,77","-1,87","-1,87","-2,65","-17,82","-1,57","50,28","52,18","242,98 M"
"POMO4","04/08","8,72","-1,91","-1,91","5,57","23,05","37,94","8,54","9,00","82,94 M"
"ISAE4","04/08","21,17","-1,99","-1,99","-2,31","0,25","-6,07","20,99","21,80","57,23 M"
"CSNA3","04/08","7,45","-2,23","-2,23","-7,11","-15,91","-31,05","7,43","7,76","55,3 M"
"HYPE3","04/08","25,25","-2,43","-2,43","-1,79","42,67","-6,66","25,09","26,40","53,34 M"
"YDUQ3","04/08","12,68","-2,54","-2,54","-2,01","54,33","22,75","12,48","13,22","49,96 M"
"PCAR3","04/08","3,39","-2,87","-2,87","-3,69","32,94","26,97","3,39","3,58","17,5 M"
"BRFS3","04/08","19,63","-3,40","-3,40","-2,09","-22,59","-4,12","19,50","20,91","124,92 M"
